Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],avg_over_time
Czech Republic,CZE,91.87494,90.2228,88.14426,81.57587,78.51414,78.63464,79.40805,80.39393,80.99131,83.2321,83.85957,83.06339,83.32625
Denmark,DNK,90.93749,91.40155,91.78583,91.39354,92.38122,95.84201,96.28269,98.38381,94.48642,93.3421,92.57379,92.93202,93.4785391666667
Djibouti,DJI,..,1.43904,2.27453,2.35448,2.22371,..,3.67695,3.17297,..,..,..,4.18859,2.76146714285714
Dominica,DMA,..,..,..,..,..,76.70549,..,..,..,..,49.12731,49.1388,58.3238666666667
Dominican Republic,DOM,29.4017,29.85033,29.35748,30.95221,33.66241,35.66335,35.51769,37.00255,41.01796,42.93102,43.16162,43.06995,35.9656891666667
Ecuador,ECU,61.66667,71.19322,79.44271,..,..,39.44079,41.92747,45.59467,48.73782,58.29978,66.1367,67.97013,58.040996
"Egypt, Arab Rep.",EGY,15.52009,16.59051,16.1507,..,19.86515,..,20.87234,21.55537,..,26.61441,..,26.52278,20.46141875
El Salvador,SLV,49.72534,50.16729,48.51135,49.66572,49.35071,53.40359,53.17479,53.35455,55.13168,56.71681,55.74776,55.75215,52.5584783333333
Equatorial Guinea,GNQ,..,..,..,..,..,..,38.78881,37.92339,..,..,31.36276,..,36.0249866666667
Eritrea,ERI,10.74279,11.88459,11.39828,10.73069,10.51009,10.8813,11.63842,10.89207,13.83376,12.54195,13.19791,..,11.6592590909091
Estonia,EST,..,..,..,..,..,86.58622,86.81615,87.84785,..,..,..,..,87.0834066666667
Eswatini,SWZ,..,..,..,..,..,..,17.40809,..,..,..,..,..,17.40809
Ethiopia,ETH,..,..,2.27497,2.77375,3.01711,3.45514,3.83137,15.75173,..,23.44842,28.62017,..,10.3965825
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,..,15.74938,..,..,..,..,..,..,..,..,..,..,15.74938
Finland,FIN,59.48438,61.29207,62.93236,64.2724,65.59691,67.39218,68.69329,69.5761,80.28846,79.52988,79.47873,83.22171,70.1465391666667
France,FRA,99.36131,99.43915,99.51429,99.48868,99.4539,99.5351,99.5472,99.59507,99.46166,99.54492,99.60371,99.555,99.5083325
French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,..,..,..,..,..,..,35.3439,..,..,..,..,..,35.3439
"Gambia, The",GMB,..,..,18.56954,..,..,26.35441,..,..,26.95171,..,33.87136,34.20478,27.99036
Georgia,GEO,37.13927,38.14279,39.46466,..,..,..,..,..,..,..,..,..,38.2489066666667
Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..
Ghana,GHA,33.66773,47.06096,54.54658,63.12512,64.02137,..,72.02432,72.59562,74.7563,..,..,..,60.22475
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,63.47159,63.91171,63.3538,..,..,71.33508,73.98756,72.44325,47.00062,44.85002,..,45.27065,60.62492
Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,..,..,85.63358,91.89649,93.5563,92.21223,..,..,83.38501,78.02364,71.7858,73.01108,83.68801625
Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,46.51908,47.99456,48.39826,49.61753,58.23113,56.7745,50.00907,47.5612,41.64657,43.30955,44.5016,43.72094,48.1903325
Guinea,GIN,6.01806,6.47224,6.79278,7.99194,7.44021,8.22633,10.536,..,..,..,..,..,7.63965142857143
Guinea-Bissau,GNB,..,..,..,..,..,4.5258,..,..,..,..,..,..,4.5258
Guyana,GUY,76.5221,..,71.71578,68.40347,70.77099,69.26692,74.24658,78.9597,..,..,..,..,72.8407914285714
Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,24.90095,29.19797,28.72464,31.56613,33.67684,35.01947,37.89698,37.75734,37.77898,39.09402,36.0685,38.25436,34.1613483333333
"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,88.53618,89.09787,..,88.817025
Hungary,HUN,85.2889,87.1339,87.02283,84.61345,83.56811,83.93096,85.01382,85.52419,85.05536,82.29505,80.33938,80.69712,84.2069225
Iceland,ISL,98.68497,98.06712,96.84956,97.40218,96.73238,96.26673,95.7857,96.38203,96.2676,97.82548,97.40132,95.11833,96.8986166666667
India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,21.77633,24.66259,29.09368,..,32.26955,29.06894,..,33.45015,37.69135,40.11143,..,..,31.0155025
"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,35.99859,37.99249,46.88141,..,40.29083
Iraq,IRQ,..,..,6.611,..,..,..,..,..,..,..,..,..,6.611
Ireland,IRL,..,..,..,..,..,..,..,58.79818,59.45338,59.69502,60.52911,64.54493,60.604124
Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,86.46626,86.83225,94.23274,94.01867,96.68373,92.27534,97.89641,97.066,..,99.52888,..,..,93.88892
Italy,ITA,96.58162,96.20455,95.53883,95.332,94.90564,94.18492,94.04254,94.66199,94.33892,93.7219,93.383,92.85869,94.6462166666667
Jamaica,JAM,..,..,84.1071,82.02171,..,..,..,..,90.88363,73.39202,81.53209,71.47036,80.5678183333333
Japan,JPN,86.69852,87.50272,88.11589,88.7216,88.6604,86.62723,85.24794,85.47265,87.16849,86.26834,85.88052,86.58684,86.912595
Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..
Kazakhstan,KAZ,31.68184,33.02433,35.70294,37.11332,37.61412,..,47.76113,53.13778,56.80131,56.69076,59.9078,58.96671,46.2183672727273
Kenya,KEN,26.00866,25.83363,25.65659,25.6583,28.22964,..,..,..,..,..,..,..,26.277364
Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,92.82618,93.26967,94.70097,97.81492,94.652935
Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,..,60.27211,65.75631,69.77066,..,69.16573,68.56114,67.66055,63.60599,59.01034,..,56.54103,64.4826511111111
Kyrgyz Republic,KGZ,10.65557,12.0193,13.40175,14.40769,15.30629,15.47427,16.75124,20.28567,22.31586,24.15403,26.61828,29.64273,18.41939
Lao PDR,LAO,9.30143,10.26699,11.35044,14.60571,17.99063,20.05767,21.6502,24.61844,28.15217,31.80564,35.00188,39.90176,22.05858
Latvia,LVA,80.67563,81.57755,82.86618,84.4751,85.49156,84.32076,87.34067,88.54042,90.24579,91.38881,91.84811,92.67481,86.7871158333333
Lebanon,LBN,70.20059,69.68325,71.82277,73.36691,76.97126,81.64107,81.8812,80.20509,81.06556,84.33872,75.01012,82.16401,77.3625458333333
Lesotho,LSO,23.09394,..,..,..,..,..,..,..,25.26318,21.55592,24.05851,23.17694,23.429698
Liberia,LBR,..,..,..,..,..,..,..,..,..,57.03393,57.04455,56.72391,56.93413
Libya,LBY,..,8.45453,..,..,..,..,..,..,..,..,..,..,8.45453
Liechtenstein,LIE,..,72.25551,73.79747,72.9765,68.68306,74.2025,70.47244,71.67553,..,73.74236,78.2327,74.15966,73.019773
Lithuania,LTU,64.09885,70.17593,72.19979,75.72696,78.59904,78.07583,78.91809,79.72517,81.87191,84.74447,86.14633,87.04379,78.1105133333333
Luxembourg,LUX,85.07138,85.6883,84.3377,85.04552,..,86.84819,86.37324,88.52113,90.02098,90.30262,89.69478,90.01479,87.4471481818182
"Macao SAR, China",MAC,81.52658,79.90544,78.5631,81.84211,85.07175,90.22256,96.71831,96.9878,94.28723,89.42647,89.90497,96.59788,88.4211833333333
"Macedonia, FYR",MKD,30.31562,33.32146,35.79567,20.44372,21.62581,22.99327,23.30184,25.34926,27.55046,29.96152,30.81648,..,27.4068281818182
Madagascar,MDG,7.42828,7.49669,7.57006,..,8.84851,7.83612,..,..,10.89166,12.6347,..,26.08135,11.09842125
Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..
Malaysia,MYS,57.80436,57.37774,62.36902,66.04027,67.35708,69.04734,..,74.20368,76.34749,78.86665,80.60411,..,69.001774
Maldives,MDV,64.39788,68.32841,66.82421,..,..,..,..,..,..,..,97.54207,96.63536,78.745586
